ordinal,CAPITULO,Pos DOC,DOCUMENTO,Pos BIEN,BIEN,Articulo,Honorario,Detalle valor base
23,CAPITULO I - ACTOS Y CONTRATOS,5,DONACION,3,ESTABLECIMIENTO COMERCIAL E INDUSTRIAL,1) I) a),3%,Valor asignado por las partes
24,CAPITULO I - ACTOS Y CONTRATOS,5,DONACION,4,AERONAVE,1) I) a),3%,Valor asignado por las partes
25,CAPITULO I - ACTOS Y CONTRATOS,5,DONACION,5,BUQUE,1) I) a),3%,Valor asignado por las partes
26,CAPITULO I - ACTOS Y CONTRATOS,6,PERMUTA,1,BIEN INMUEBLE,1) I) a),3%,"Valor asignado por las partes o valor catastral, el mayor "
27,CAPITULO I - ACTOS Y CONTRATOS,6,PERMUTA,2,BIEN MUEBLE,1) II) a),2%,Valor asignado por las partes
28,CAPITULO I - ACTOS Y CONTRATOS,6,PERMUTA,3,ESTABLECIMIENTO COMERCIAL E INDUSTRIAL,1) I) a),3%,Valor asignado por las partes
29,CAPITULO I - ACTOS Y CONTRATOS,6,PERMUTA,4,AERONAVE,1) I) a),3%,Valor asignado por las partes
30,CAPITULO I - ACTOS Y CONTRATOS,6,PERMUTA,5,BUQUE,1) I) a),3%,Valor asignado por las partes
31,CAPITULO I - ACTOS Y CONTRATOS,7,RENTA VITALICIA,1,BIEN INMUEBLE,1) I) a),3%,"Valor asignado por las partes o valor catastral, el mayor "
32,CAPITULO I - ACTOS Y CONTRATOS,7,RENTA VITALICIA,2,BIEN MUEBLE,1) II) a),2%,Valor asignado por las partes
33,CAPITULO I - ACTOS Y CONTRATOS,7,RENTA VITALICIA,3,ESTABLECIMIENTO COMERCIAL E INDUSTRIAL,1) I) a),3%,Valor asignado por las partes
34,CAPITULO I - ACTOS Y CONTRATOS,7,RENTA VITALICIA,4,AERONAVE,1) I) a),3%,Valor asignado por las partes
35,CAPITULO I - ACTOS Y CONTRATOS,7,RENTA VITALICIA,5,BUQUE,1) I) a),3%,Valor asignado por las partes
36,CAPITULO I - ACTOS Y CONTRATOS,8,"HIPOTECA (ADEUDO, PRESTAMO O CREDITO)",1,BIEN INMUEBLE,1) I) b),3%,"Valor asignado por las partes o valor catastral, el mayor "
37,CAPITULO I - ACTOS Y CONTRATOS,8,"HIPOTECA (ADEUDO, PRESTAMO O CREDITO)",3,ESTABLECIMIENTO COMERCIAL E INDUSTRIAL,1) I) b),3%,Valor asignado por las partes
38,CAPITULO I - ACTOS Y CONTRATOS,8,"HIPOTECA (ADEUDO, PRESTAMO O CREDITO)",4,AERONAVE,1) I) b),3%,Valor asignado por las partes
39,CAPITULO I - ACTOS Y CONTRATOS,8,"HIPOTECA (ADEUDO, PRESTAMO O CREDITO)",5,BUQUE,1) I) b),3%,Valor asignado por las partes
40,CAPITULO I - ACTOS Y CONTRATOS,9,NOVACION DE OBLIGACIONES,1,BIEN INMUEBLE,1) I) c),3%,"Valor asignado por las partes o valor catastral, el mayor "
41,CAPITULO I - ACTOS Y CONTRATOS,9,NOVACION DE OBLIGACIONES,2,BIEN MUEBLE,1) II) c),2%,Valor asignado por las partes
42,CAPITULO I - ACTOS Y CONTRATOS,9,NOVACION DE OBLIGACIONES,3,ESTABLECIMIENTO COMERCIAL E INDUSTRIAL,1) I) c),3%,Valor asignado por las partes
43,CAPITULO I - ACTOS Y CONTRATOS,9,NOVACION DE OBLIGACIONES,4,AERONAVE,1) I) c),3%,Valor asignado por las partes
44,CAPITULO I - ACTOS Y CONTRATOS,9,NOVACION DE OBLIGACIONES,5,BUQUE,1) I) c),3%,Valor asignado por las partes
45,CAPITULO I - ACTOS Y CONTRATOS,10,FIDEICOMISO (CONSTITUCION),1,BIEN INMUEBLE,1) I) a),3%,"Valor asignado por las partes o valor catastral, el mayor "
46,CAPITULO I - ACTOS Y CONTRATOS,10,FIDEICOMISO (CONSTITUCION),2,BIEN MUEBLE,1) II) a),2%,Valor asignado por las partes
47,CAPITULO I - ACTOS Y CONTRATOS,10,FIDEICOMISO (CONSTITUCION),3,ESTABLECIMIENTO COMERCIAL E INDUSTRIAL,1) I) a),3%,Valor asignado por las partes
48,CAPITULO I - ACTOS Y CONTRATOS,10,FIDEICOMISO (CONSTITUCION),4,AERONAVE,1) I) a),3%,Valor asignado por las partes
49,CAPITULO I - ACTOS Y CONTRATOS,10,FIDEICOMISO (CONSTITUCION),5,BUQUE,1) I) a),3%,Valor asignado por las partes
50,CAPITULO I - ACTOS Y CONTRATOS,11,"FIDEICOMISO  (ADEUDO, PRESTAMO O CREDITO)",1,BIEN INMUEBLE,1) I) b),3%,"Valor asignado por las partes o valor catastral, el mayor "
51,CAPITULO I - ACTOS Y CONTRATOS,11,"FIDEICOMISO  (ADEUDO, PRESTAMO O CREDITO)",2,BIEN MUEBLE,1) II) b),2%,Valor asignado por las partes
52,CAPITULO I - ACTOS Y CONTRATOS,11,"FIDEICOMISO  (ADEUDO, PRESTAMO O CREDITO)",3,ESTABLECIMIENTO COMERCIAL E INDUSTRIAL,1) I) b),3%,Valor asignado por las partes
53,CAPITULO I - ACTOS Y CONTRATOS,11,"FIDEICOMISO  (ADEUDO, PRESTAMO O CREDITO)",4,AERONAVE,1) I) b),3%,Valor asignado por las partes
54,CAPITULO I - ACTOS Y CONTRATOS,11,"FIDEICOMISO  (ADEUDO, PRESTAMO O CREDITO)",5,BUQUE,1) I) b),3%,Valor asignado por las partes
55,CAPITULO I - ACTOS Y CONTRATOS,12,CESION DE DERECHOS,1,BIEN INMUEBLE,1) I) a),3%,"Valor asignado por las partes o valor catastral, el mayor "
56,CAPITULO I - ACTOS Y CONTRATOS,12,CESION DE DERECHOS,2,BIEN MUEBLE,1) II) a),2%,Valor asignado por las partes
57,CAPITULO I - ACTOS Y CONTRATOS,12,CESION DE DERECHOS,3,ESTABLECIMIENTO COMERCIAL E INDUSTRIAL,1) I) a),3%,Valor asignado por las partes
58,CAPITULO I - ACTOS Y CONTRATOS,12,CESION DE DERECHOS,4,AERONAVE,1) I) a),3%,Valor asignado por las partes
59,CAPITULO I - ACTOS Y CONTRATOS,12,CESION DE DERECHOS,5,BUQUE,1) I) a),3%,Valor asignado por las partes
60,CAPITULO I - ACTOS Y CONTRATOS,13,CENSO,1,BIEN INMUEBLE,1) I) b),3%,"Valor asignado por las partes o valor catastral, el mayor "
61,CAPITULO I - ACTOS Y CONTRATOS,13,CENSO,3,ESTABLECIMIENTO COMERCIAL E INDUSTRIAL,1) I) b),3%,Valor asignado por las partes
62,CAPITULO I - ACTOS Y CONTRATOS,13,CENSO,4,AERONAVE,1) I) b),3%,Valor asignado por las partes
63,CAPITULO I - ACTOS Y CONTRATOS,13,CENSO,5,BUQUE,1) I) b),3%,Valor asignado por las partes
64,CAPITULO I - ACTOS Y CONTRATOS,14,DECLARATORIA ATRIBUYA DOMINIO A TERCEROS,1,BIEN INMUEBLE,1) I) a),3%,"Valor asignado por las partes o valor catastral, el mayor "
65,CAPITULO I - ACTOS Y CONTRATOS,14,DECLARATORIA ATRIBUYA DOMINIO A TERCEROS,2,BIEN MUEBLE,1) II) a),2%,Valor asignado por las partes
66,CAPITULO I - ACTOS Y CONTRATOS,14,DECLARATORIA ATRIBUYA DOMINIO A TERCEROS,3,ESTABLECIMIENTO COMERCIAL E INDUSTRIAL,1) I) a),3%,Valor asignado por las partes
67,CAPITULO I - ACTOS Y CONTRATOS,14,DECLARATORIA ATRIBUYA DOMINIO A TERCEROS,4,AERONAVE,1) I) a),3%,Valor asignado por las partes
68,CAPITULO I - ACTOS Y CONTRATOS,14,DECLARATORIA ATRIBUYA DOMINIO A TERCEROS,5,BUQUE,1) I) a),3%,Valor asignado por las partes
69,CAPITULO I - ACTOS Y CONTRATOS,15,GRAVAMEN O AFECTACION,1,BIEN INMUEBLE,1) I) b),3%,"Valor asignado por las partes o valor catastral, el mayor "
70,CAPITULO I - ACTOS Y CONTRATOS,15,GRAVAMEN O AFECTACION,2,BIEN MUEBLE,1) II) b),2%,Valor asignado por las partes
71,CAPITULO I - ACTOS Y CONTRATOS,15,GRAVAMEN O AFECTACION,3,ESTABLECIMIENTO COMERCIAL E INDUSTRIAL,1) I) b),3%,Valor asignado por las partes
72,CAPITULO I - ACTOS Y CONTRATOS,15,GRAVAMEN O AFECTACION,4,AERONAVE,1) I) b),3%,Valor asignado por las partes
73,CAPITULO I - ACTOS Y CONTRATOS,15,GRAVAMEN O AFECTACION,5,BUQUE,1) I) b),3%,Valor asignado por las partes
